t_ms,left_delta,right_delta,left_abs,right_abs,target_counts
Target counts per wheel: 2597
10,3,-1,3,1,2597
20,17,-14,17,14,2597
30,41,-37,41,37,2597
40,72,-66,72,66,2597
50,104,-97,104,97,2597
60,145,-136,145,136,2597
70,189,-178,189,178,2597
80,235,-223,235,223,2597
90,284,-271,284,271,2597
100,330,-315,330,315,2597
110,382,-367,382,367,2597
120,436,-419,436,419,2597
130,492,-472,492,472,2597
140,542,-520,542,520,2597
150,598,-574,598,574,2597
160,655,-627,655,627,2597
170,713,-681,713,681,2597
180,765,-729,765,729,2597
190,823,-783,823,783,2597
200,882,-838,882,838,2597
210,941,-892,941,892,2597
220,994,-942,994,942,2597
230,1053,-999,1053,999,2597
240,1112,-1056,1112,1056,2597
250,1171,-1114,1171,1114,2597
260,1231,-1173,1231,1173,2597
270,1284,-1226,1284,1226,2597
280,1343,-1286,1343,1286,2597
290,1403,-1346,1403,1346,2597
300,1463,-1408,1463,1408,2597
310,1517,-1463,1517,1463,2597
320,1577,-1525,1577,1525,2597
330,1637,-1588,1637,1588,2597
340,1697,-1650,1697,1650,2597
350,1750,-1706,1750,1706,2597
360,1811,-1769,1811,1769,2597
370,1871,-1831,1871,1831,2597
380,1931,-1894,1931,1894,2597
391,1992,-1958,1992,1958,2597
401,2052,-2021,2052,2021,2597
411,2113,-2085,2113,2085,2597
421,2174,-2149,2174,2149,2597
431,2236,-2213,2236,2213,2597
441,2291,-2270,2291,2270,2597
451,2353,-2334,2353,2334,2597
461,2414,-2399,2414,2399,2597
471,2475,-2463,2475,2463,2597
481,2530,-2521,2530,2521,2597
491,2591,-2586,2591,2586,2597
501,2652,-2651,2652,2651,2597
Turn complete
Final left delta: 2652
Final right delta: -2651
t_ms,left_delta,right_delta,left_abs,right_abs,target_counts
Target counts per wheel: 2597
10,3,-2,3,2,2597
20,16,-17,16,17,2597
30,39,-41,39,41,2597
40,69,-70,69,70,2597
50,101,-101,101,101,2597
60,140,-140,140,140,2597
70,183,-183,183,183,2597
80,229,-228,229,228,2597
90,278,-276,278,276,2597
100,323,-320,323,320,2597
110,374,-371,374,371,2597
120,426,-424,426,424,2597
130,479,-479,479,479,2597
140,528,-530,528,530,2597
150,584,-586,584,586,2597
160,639,-643,639,643,2597
170,694,-700,694,700,2597
180,745,-752,745,752,2597
190,802,-810,802,810,2597
200,860,-868,860,868,2597
210,918,-927,918,927,2597
220,970,-979,970,979,2597
230,1029,-1038,1029,1038,2597
240,1088,-1097,1088,1097,2597
250,1147,-1157,1147,1157,2597
260,1207,-1216,1207,1216,2597
270,1261,-1271,1261,1271,2597
280,1321,-1331,1321,1331,2597
290,1381,-1392,1381,1392,2597
300,1441,-1453,1441,1453,2597
310,1496,-1508,1496,1508,2597
320,1556,-1570,1556,1570,2597
330,1617,-1632,1617,1632,2597
340,1678,-1695,1678,1695,2597
350,1733,-1751,1733,1751,2597
360,1794,-1814,1794,1814,2597
370,1855,-1878,1855,1878,2597
380,1915,-1941,1915,1941,2597
391,1976,-2005,1976,2005,2597
401,2037,-2068,2037,2068,2597
411,2098,-2132,2098,2132,2597
421,2159,-2195,2159,2195,2597
431,2220,-2259,2220,2259,2597
441,2275,-2316,2275,2316,2597
451,2336,-2380,2336,2380,2597
461,2397,-2444,2397,2444,2597
471,2458,-2507,2458,2507,2597
481,2514,-2564,2514,2564,2597
491,2575,-2628,2575,2628,2597
Turn complete
Final left delta: 2575
Final right delta: -2628
