t_ms,left_delta,right_delta,left_abs,right_abs,target_counts
Target counts per wheel: 2200
10,2,-2,2,2,2200
20,17,-17,17,17,2200
30,41,-41,41,41,2200
40,74,-72,74,72,2200
50,109,-105,109,105,2200
60,153,-147,153,147,2200
70,200,-193,200,193,2200
80,251,-243,251,243,2200
90,304,-295,304,295,2200
100,353,-344,353,344,2200
110,408,-398,408,398,2200
120,464,-455,464,455,2200
130,522,-513,522,513,2200
140,575,-566,575,566,2200
150,635,-626,635,626,2200
160,696,-687,696,687,2200
170,758,-749,758,749,2200
180,815,-805,815,805,2200
190,878,-869,878,869,2200
200,941,-932,941,932,2200
210,1005,-996,1005,996,2200
220,1063,-1053,1063,1053,2200
230,1128,-1118,1128,1118,2200
240,1192,-1182,1192,1182,2200
250,1257,-1247,1257,1247,2200
260,1322,-1312,1322,1312,2200
270,1380,-1371,1380,1371,2200
280,1445,-1436,1445,1436,2200
290,1510,-1501,1510,1501,2200
300,1576,-1566,1576,1566,2200
310,1634,-1625,1634,1625,2200
320,1700,-1691,1700,1691,2200
330,1765,-1756,1765,1756,2200
340,1831,-1822,1831,1822,2200
350,1890,-1881,1890,1881,2200
360,1956,-1947,1956,1947,2200
370,2021,-2013,2021,2013,2200
380,2087,-2078,2087,2078,2200
391,2153,-2144,2153,2144,2200
401,2218,-2210,2218,2210,2200
Turn complete
Final left delta: 2218
Final right delta: -2210
t_ms,left_delta,right_delta,left_abs,right_abs,target_counts
Target counts per wheel: 2200
10,3,-2,3,2,2200
20,16,-16,16,16,2200
30,39,-39,39,39,2200
40,69,-68,69,68,2200
50,101,-99,101,99,2200
60,141,-138,141,138,2200
70,185,-180,185,180,2200
80,231,-225,231,225,2200
90,279,-271,279,271,2200
100,324,-315,324,315,2200
110,375,-365,375,365,2200
120,427,-416,427,416,2200
130,479,-468,479,468,2200
140,528,-515,528,515,2200
150,583,-570,583,570,2200
160,637,-625,637,625,2200
170,692,-680,692,680,2200
180,741,-731,741,731,2200
190,797,-787,797,787,2200
200,854,-844,854,844,2200
210,912,-902,912,902,2200
220,964,-954,964,954,2200
230,1022,-1012,1022,1012,2200
240,1080,-1071,1080,1071,2200
250,1139,-1130,1139,1130,2200
260,1199,-1190,1199,1190,2200
270,1252,-1243,1252,1243,2200
280,1312,-1304,1312,1304,2200
290,1372,-1365,1372,1365,2200
300,1432,-1426,1432,1426,2200
310,1487,-1482,1487,1482,2200
320,1548,-1544,1548,1544,2200
330,1608,-1606,1608,1606,2200
340,1669,-1669,1669,1669,2200
350,1724,-1726,1724,1726,2200
360,1784,-1788,1784,1788,2200
370,1845,-1851,1845,1851,2200
380,1906,-1915,1906,1915,2200
391,1967,-1978,1967,1978,2200
401,2028,-2041,2028,2041,2200
411,2089,-2104,2089,2104,2200
421,2150,-2168,2150,2168,2200
431,2211,-2231,2211,2231,2200
Turn complete
Final left delta: 2211
Final right delta: -2231
