t_ms,left_delta,right_delta,left_abs,right_abs,target_counts
Target counts per wheel: 2797
10,2,-2,2,2,2797
20,16,-15,16,15,2797
30,41,-39,41,39,2797
40,74,-70,74,70,2797
50,109,-104,109,104,2797
60,152,-146,152,146,2797
70,199,-192,199,192,2797
80,250,-241,250,241,2797
90,302,-293,302,293,2797
100,351,-342,351,342,2797
110,407,-397,407,397,2797
120,464,-453,464,453,2797
130,522,-511,522,511,2797
140,576,-564,576,564,2797
150,637,-624,637,624,2797
160,698,-686,698,686,2797
170,760,-747,760,747,2797
180,817,-804,817,804,2797
190,880,-867,880,867,2797
200,943,-931,943,931,2797
210,1007,-995,1007,995,2797
220,1065,-1052,1065,1052,2797
230,1130,-1117,1130,1117,2797
240,1194,-1182,1194,1182,2797
250,1259,-1247,1259,1247,2797
260,1324,-1312,1324,1312,2797
270,1383,-1371,1383,1371,2797
280,1448,-1436,1448,1436,2797
290,1513,-1502,1513,1502,2797
300,1578,-1567,1578,1567,2797
310,1637,-1626,1637,1626,2797
320,1702,-1692,1702,1692,2797
330,1768,-1757,1768,1757,2797
340,1834,-1823,1834,1823,2797
350,1893,-1882,1893,1882,2797
360,1958,-1948,1958,1948,2797
370,2024,-2013,2024,2013,2797
380,2089,-2079,2089,2079,2797
391,2155,-2145,2155,2145,2797
401,2221,-2211,2221,2211,2797
411,2286,-2276,2286,2276,2797
421,2352,-2342,2352,2342,2797
431,2418,-2407,2418,2407,2797
441,2477,-2467,2477,2467,2797
451,2543,-2532,2543,2532,2797
461,2609,-2598,2609,2598,2797
471,2674,-2663,2674,2663,2797
481,2734,-2723,2734,2723,2797
491,2799,-2788,2799,2788,2797
Turn complete
Final left delta: 2799
Final right delta: -2788
